사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Nov-23,2호선,205,동대문역사문화공원(DDP),258,2,"5,434","1,223","4,405","8,720","7,829","21,693","13,621","51,393","15,071","34,461","16,739","31,662","18,600","28,676","23,039","29,459","23,623","29,988","27,679","30,616","33,290","27,901","38,757","28,110","46,828","31,058","48,720","38,022","31,305","34,682","23,973","25,017","22,831","20,392","20,881","17,128","11,002","11,019","2,660","3,849",27,229,0,0,0,0
Nov-23,2호선,206,신당,25,0,"6,577","1,187","11,671","8,793","29,787","16,716","52,677","31,110","30,856","23,484","20,474","18,088","18,835","19,479","21,956","20,730","23,110","22,245","22,437","23,013","24,287","25,617","27,697","30,213","31,981","40,175","32,545","57,626","22,346","37,269","17,738","23,910","16,977","21,040","14,525","19,387","7,482","11,604","1,409","3,841",3,116,0,0,0,0
Nov-23,2호선,207,상왕십리,56,0,"6,081",799,"13,850","5,759","42,735","13,232","70,622","31,352","39,120","19,303","23,986","13,811","20,237","13,160","21,729","15,215","20,774","16,776","19,011","17,720","20,180","21,681","21,672","26,756","26,471","37,427","27,324","56,716","18,944","38,031","12,158","24,488","10,523","22,859","7,182","21,795","2,932","13,329",544,"4,378",1,115,0,0,0,0
Nov-23,2호선,208,왕십리(성동구청),809,7,"6,781","1,044","9,954","8,347","26,285","14,001","47,155","29,032","29,906","20,022","20,439","15,901","19,755","16,625","22,376","18,358","23,153","20,260","22,785","19,496","26,108","22,169","33,455","26,764","36,783","38,158","37,165","57,602","24,679","35,972","23,807","22,251","27,627","20,536","26,761","19,476","15,274","12,808","2,920","5,268",6,232,0,0,0,0
Nov-23,2호선,209,한양대,1,0,"1,197",586,"2,556","7,078","5,768","13,297","9,838","70,506","7,329","61,913","9,070","55,673","19,352","21,918","20,538","41,036","19,237","28,701","26,199","23,767","39,518","19,947","46,503","14,440","57,837","16,536","46,838","21,167","21,272","10,568","18,453","6,560","20,938","6,099","12,409","5,926","6,523","4,147","1,551","1,382",7,76,0,0,0,0
Nov-23,2호선,210,뚝섬,4,0,"3,205","2,430","8,093","17,009","19,162","42,323","27,601","144,430","18,362","100,065","15,496","46,574","17,698","36,031","21,821","35,897","26,706","38,794","31,326","35,320","41,134","35,813","53,084","36,491","86,441","42,484","140,115","49,885","69,005","28,404","46,873","15,091","43,047","13,105","28,865","11,792","11,390","7,435","1,733","2,861",3,139,0,0,0,0
Nov-23,2호선,211,성수,55,2,"5,507","3,631","9,418","33,123","23,244","73,060","32,574","264,212","24,699","165,095","22,408","84,264","26,747","66,245","33,925","67,529","42,994","73,934","52,059","70,307","65,541","68,870","86,691","69,148","144,889","72,953","259,704","78,486","122,301","44,737","86,804","21,618","75,798","17,541","53,161","14,925","22,003","10,950","3,140","5,112",15,802,0,0,0,0
Nov-23,2호선,212,건대입구,293,4,"15,153","2,044","22,294","15,842","55,840","25,424","99,065","65,710","66,377","54,871","40,963","45,474","39,651","46,481","45,492","52,613","48,463","57,667","51,548","57,086","56,234","63,372","65,961","76,421","78,112","108,378","89,177","156,846","65,771","106,184","66,072","65,054","70,341","60,695","70,408","54,956","42,990","33,458","7,338","11,411",34,"1,008",0,0,0,0
Nov-23,2호선,213,구의(광진구청),45,0,"14,046","1,498","26,868","24,140","71,436","17,303","123,274","42,023","77,058","24,515","39,535","20,815","32,113","20,800","33,207","22,951","32,357","27,055","29,426","29,321","30,927","36,802","42,538","44,331","43,395","62,152","46,540","100,191","24,562","71,322","18,862","46,425","17,433","43,823","15,925","41,646","8,238","23,946","1,354","7,485",14,337,0,0,0,0
Nov-23,2호선,214,강변(동서울터미널),35,2,"9,049","2,026","28,419","21,267","80,117","24,773","120,054","43,777","89,710","35,919","66,336","37,349","55,703","35,107","53,530","38,914","50,568","44,325","46,014","50,237","47,394","58,118","51,652","66,552","56,950","83,066","61,011","113,823","43,199","78,156","35,293","53,385","28,286","45,226","17,611","41,842","6,910","21,212",906,"5,631",7,260,0,0,0,0
